Ticker ,BBERG_Ticker,Short Name,Market Cap,Revenue T12M,OPM LF,GICS Sector,GICS Ind Grp Name
STNE,STNE US Equity,STONECO LTD-A,"13,655,483,392","2,575,968,000",56.09,Information Technology,Software & Services
STRA,STRA US Equity,STRATEGIC EDUCAT,"2,859,143,168","1,026,652,016",18.14,Consumer Discretionary,Consumer Services
STT,STT US Equity,STATE ST CORP,"25,082,640,384","12,899,000,064",27.34,Financials,Diversified Financials
STWD,STWD US Equity,STARWOOD PROPERT,"4,670,792,192","1,515,832,016",49.47,Financials,Diversified Financials
STZ,STZ US Equity,CONSTELLATION-A,"33,877,422,080","8,209,699,840",31.07,Consumer Staples,"Food, Beverage & Tobacco"
SUM,SUM US Equity,SUMMIT MATERIA-A,"2,000,466,688","2,286,809,024",15.86,Materials,Materials
SWBI,SWBI US Equity,SMITH & WESSON B,"1,390,018,304","678,386,008",-28.14,Consumer Discretionary,Consumer Durables & Apparel
SWI,SWI US Equity,SOLARWINDS CORP,"6,125,865,984","980,950,016",14.28,Information Technology,Software & Services
SWK,SWK US Equity,STANLEY BLACK &,"25,603,371,008","13,624,100,096",5.27,Industrials,Capital Goods
SWKS,SWKS US Equity,SKYWORKS SOLUTIO,"24,647,845,888","3,226,399,936",20.02,Information Technology,Semiconductors & Semiconductor Equipment
SWM,SWM US Equity,SCHWEITZER-MAUDU,"1,075,433,344","1,010,600,000",13.53,Materials,Materials
SXT,SXT US Equity,SENSIENT TECHNOL,"2,356,751,872","1,310,001,952",13.04,Materials,Materials
SYF,SYF US Equity,SYNCHRONY FINANC,"14,442,098,688","18,183,999,744",1.69,Financials,Diversified Financials
SYK,SYK US Equity,STRYKER CORP,"71,432,716,288","14,070,000,128",-0.72,Health Care,Health Care Equipment & Services
SYKE,SYKE US Equity,SYKES ENTERPRISE,"1,376,292,864","1,650,830,016",6.53,Information Technology,Software & Services
SYNA,SYNA US Equity,SYNAPTICS INC,"2,927,706,368","1,333,900,000",4.39,Information Technology,Semiconductors & Semiconductor Equipment
SYNH,SYNH US Equity,SYNEOS HEALTH IN,"6,665,869,312","4,566,735,936",3.45,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
SYY,SYY US Equity,SYSCO CORP,"30,304,792,576","52,893,310,976",-6.00,Consumer Staples,Food & Staples Retailing
T,T US Equity,AT&T INC,"215,032,496,128","175,138,000,896",8.63,Communication Services,Telecommunication Services
TAP,TAP US Equity,MOLSON COORS-B,"8,520,631,808","9,934,000,000",18.30,Consumer Staples,"Food, Beverage & Tobacco"
TDC,TDC US Equity,TERADATA CORP,"2,641,070,080","1,844,000,000",1.75,Information Technology,Software & Services
TDG,TDG US Equity,TRANSDIGM GROUP,"27,021,287,424","5,471,319,936",27.98,Industrials,Capital Goods
TDOC,TDOC US Equity,TELADOC HEALTH I,"15,034,574,848","716,286,992",-2.98,Health Care,Health Care Equipment & Services
TDS,TDS US Equity,TELEPHONE & DATA,"2,668,804,608","5,180,999,936",6.18,Communication Services,Telecommunication Services
TDY,TDY US Equity,TELEDYNE TECH,"12,211,007,488","3,164,299,968",14.77,Industrials,Capital Goods
TEAM,TEAM US Equity,ATLASSIAN CORP-A,"39,757,090,816","1,614,173,024",-0.76,Information Technology,Software & Services
TECH,TECH US Equity,BIO-TECHNE CORP,"10,068,705,280","738,691,008",22.36,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
TER,TER US Equity,TERADYNE INC,"14,884,798,464","2,779,704,000",25.99,Information Technology,Semiconductors & Semiconductor Equipment
TEX,TEX US Equity,TEREX CORP,"1,450,449,024","3,433,699,968",1.07,Industrials,Capital Goods
TFX,TFX US Equity,TELEFLEX INC,"17,490,493,440","2,526,946,944",6.84,Health Care,Health Care Equipment & Services
TGNA,TGNA US Equity,TEGNA INC,"2,673,441,792","2,507,628,032",13.00,Communication Services,Media & Entertainment
TGT,TGT US Equity,TARGET CORP,"67,302,084,608","80,100,001,792",2.39,Consumer Discretionary,Retailing
THC,THC US Equity,TENET HEALTHCARE,"3,087,904,256","17,542,000,128",-1.95,Health Care,Health Care Equipment & Services
THG,THG US Equity,HANOVER INSURANC,"4,007,389,440","4,753,100,096",12.46,Financials,Insurance
THO,THO US Equity,THOR INDUSTRIES,"5,839,476,224","8,155,276,032",3.18,Consumer Discretionary,Automobiles & Components
THRM,THRM US Equity,GENTHERM INC,"1,456,406,912","835,110,976",-7.27,Consumer Discretionary,Automobiles & Components
THS,THS US Equity,TREEHOUSE FOODS,"2,446,426,624","4,323,600,000",2.43,Consumer Staples,"Food, Beverage & Tobacco"
TIF,TIF US Equity,TIFFANY & CO,"15,168,333,824","3,976,399,936",-18.97,Consumer Discretionary,Retailing
TJX,TJX US Equity,TJX COS INC,"69,153,447,936","36,848,280,064",-29.93,Consumer Discretionary,Retailing
TKR,TKR US Equity,TIMKEN CO,"4,191,234,304","3,537,100,032",14.36,Industrials,Capital Goods
